ensembl_transcript_id	sym	ensembl_peptide_id	SRR3401749	SRR3401751	SRR3401745	SRR3401747	SRR3401746	SRR3401748	SRR3401750	SRR3401752	ERR7417863	ERR7417867	ERR7417864	ERR7417870	ERR7417865	ERR7417866	ERR7417869	ERR7417868	SRR22810193	SRR22810194	SRR22810191	SRR22810192	SRR22810189	SRR22810190	SRR11184908	SRR11184909	SRR11184911	SRR11184915	SRR11184916	SRR11184910	SRR11184912	SRR11184917	SRR11184918	SRR11184913	SRR11184914	SRR11184919	SRR11184920	SRR11184921	SRR10572658	SRR10572659	SRR10572660	SRR10572663	SRR10572664	SRR10572657	SRR10572661	SRR10572662	SRR3401399	SRR3401401	SRR5812574	SRR5812577	SRR5812581	SRR5812564	SRR5812565	SRR5812569	SRR5812580	SRR5812570	SRR5812573	SRR5812575	SRR5812576	SRR5812578	SRR5812579	SRR5812566	SRR5812571	SRR5812567	SRR5812568	SRR5812572	SRR18502223	SRR18502227	SRR18502237	SRR18502228	SRR18502231	SRR18502232	SRR18502238	SRR18502234	SRR18502235	SRR18502236	SRR18502224	SRR18502225	SRR18502226	SRR18502229	SRR18502230	SRR18502233
ENSCGRT00001027900	Zfp963	ENSCGRP00001023654	5.24131	5.834313	4.581716	4.79968	5.647974	5.462666	6.916026	5.63622	3.111013	5.032739	5.216673	2.801325	3.792229	2.879536	3.641277	3.570297	1.475935	2.072631	2.026591	2.361645	2.239986	3.139869	2.311733	2.915599	1.771552	2.165433	2.581921	1.784726	3.635022	2.339842	1.973749	3.393368	1.746107	2.197173	3.409555	5.430929	1.306305	1.121095	1.597481	1.995379	1.208567	1.244359	1.157634	1.180568	4.581701	5.647732	8.540509	6.809045	6.054603	7.361123	7.55134	2.947541	6.10018	7.405935	5.89128	6.587939	7.65186	5.557671	6.391727	7.040355	7.236948	2.325615	3.060042	8.544747	2.652603	3.982415	3.604696	3.249132	3.395299	3.196224	2.60053	3.32849	4.327208	3.58059	2.694095	2.514337	2.098075	3.754342	2.306109	1.940831
ENSCGRT00001027901	Tox3	ENSCGRP00001023655	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.045446	0.036596	0.043635	0	0	0.040587	0	0	0	0	0	0	0.089491	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSCGRT00001027902	Syt6	ENSCGRP00001023656	0.161458	0	0	0.080488	0	0	0.543275	0	0	0.084329	0	0	0.038934	0	0	0.042946	0	0	0	0	0	0.073424	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSCGRT00001027903	Tmem45a	ENSCGRP00001023657	2.629026	0.523617	0	0	0	0	2.880856	0	0	0.08825	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.364461	0	0	0	0	0	0	0	0.204526	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSCGRT00001027904	Ttc27	ENSCGRP00001023658	11.969702	46.17749	65.661927	44.043643	41.785361	23.462119	11.247931	30.759986	91.115209	89.239714	94.158	92.607685	92.90197	94.731783	85.668447	85.24676	39.403783	41.086164	46.952046	42.935164	44.038611	50.027284	44.984277	45.227283	40.996159	35.716433	35.244594	40.01521	52.822613	51.711698	32.938711	49.687244	50.876651	43.358307	43.756219	41.169527	5.887084	5.546528	6.64805	4.385902	4.356528	5.665551	4.214978	4.814909	65.661803	41.783208	38.409994	46.868675	43.387322	53.671228	55.45947	76.847244	43.448692	43.817595	42.391747	40.032224	47.161342	42.958167	41.108509	56.287985	45.420952	76.498986	77.711249	40.531373	95.277367	92.185499	97.581746	83.948947	98.916533	94.936565	90.130318	87.699024	87.355754	99.469668	98.338044	90.989669	92.273471	81.656907	88.929571	94.656427
ENSCGRT00001027905	Stx7	ENSCGRP00001023659	82.961603	30.841265	18.186824	32.371415	30.91666	52.057248	78.072278	51.42007	52.441605	42.880917	41.434424	47.213148	49.792557	49.995778	47.191866	46.307933	8.304685	6.414355	10.839206	6.884229	11.142995	12.015408	21.901616	21.785963	18.605966	34.898101	33.283158	16.370425	17.54623	14.511299	30.592007	18.184638	14.539193	28.323121	14.968952	15.880627	4.329297	4.413326	4.731919	5.207781	4.609798	4.499618	4.942752	5.105333	18.186786	30.915103	44.008683	40.10781	35.084727	31.960755	30.586392	18.035982	36.600593	44.004265	45.340007	43.350272	39.034922	36.010089	38.258403	29.720568	41.964765	19.599902	19.037683	44.932305	26.393958	27.373745	23.520135	27.499495	25.27523	28.291975	24.878708	23.565766	20.244372	23.222635	25.10808	24.070486	25.438999	25.383603	25.3373	24.968785
ENSCGRT00001027906	Syt6	ENSCGRP00001023660	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSCGRT00001027907	Magec2	ENSCGRP00001023661	0.425667	0	0.112509	0.106587	0	0.10852	0.717345	0	0.106552	0.055015	0	0	0	0	0	0	0	0	0	0	0.080373	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.112508	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSCGRT00001027908	Ralgds	ENSCGRP00001023662	37.327367	12.399697	4.999408	11.089052	10.451095	10.606435	38.800859	17.927432	14.669963	10.984001	11.210007	15.126602	14.395374	14.548191	16.424092	15.549867	4.478412	5.540911	8.312321	2.600732	4.765976	6.818466	3.152033	1.193433	0	1.012718	1.413707	0.416786	2.291288	3.516121	5.416396	2.690167	0	0	3.008091	0	1.787586	2.240028	3.426777	2.811594	2.580664	2.704122	2.335328	2.836355	4.999473	10.436795	9.621395	9.886732	14.775205	15.400867	15.365379	9.843844	10.871266	8.370584	12.47271	12.58411	10.523599	12.52835	9.24981	15.010886	7.842186	9.209617	9.83782	11.322698	7.032313	10.805619	7.543244	7.754471	8.309678	8.419633	9.303856	6.829562	9.140155	5.973937	7.820594	3.74214	9.402565	5.787286	8.239093	7.60973
ENSCGRT00001027909	Gatm	ENSCGRP00001023663	1.107421	0.494417	0.425465	0.503661	0.506456	0.205286	1.162945	0.211499	3.535398	2.399597	2.185096	2.707317	2.359669	2.124994	3.678914	3.027976	1.03864	0.558173	1.247606	1.246167	0.607121	0.460874	0.269252	0.108388	0.258105	0.260857	0.343033	0.42007	0.338061	0.123936	0.053844	0.370857	0.531338	0.109626	0.529709	0.114456	0	0.067136	0.103694	0.044199	0.039682	0.098976	0.080933	0.040769	0.425463	0.506434	0	0.313374	0.081519	0.157236	0.097774	0.333895	0.15928	0	0.166184	0.165339	0	0.0784	0	0.090167	0.158813	0.19379	0.343674	0.080926	0.234584	0.219392	0.109387	0.343462	0.386631	0.108301	0.104057	0.390761	0.095434	0	0	0	0.13247	0.110221	0.358871	0.455627
ENSCGRT00001027910	Klhl13	ENSCGRP00001023664	26.066028	0.304761	0.065748	0.06212	0.208413	0.700038	44.633975	0.718217	0.222572	0.263107	0.302917	0.341719	0.243004	0.547473	0.10099	0.234523	0	0.048886	0	0	0	0.05651	0.040473	0	0.077749	0.19595	0.176533	0.036161	0.203697	0.149239	0	0	0	0	0.039858	0	0.020079	0.025234	0.054276	0.05533	0.033171	0.035432	0.036187	0	0.065748	0.208403	0.611902	0.098905	0	0.138951	0.082175	0.046757	0.301639	0.342328	0.367124	0.26104	0.144673	0.247549	0.406097	0.037936	0.300912	0	0	0.306471	0.073015	0.067642	0.335717	0.070475	0.179427	0	0.063929	0.12011	0.117978	0.077464	0	0.086356	0.164702	0.067814	0.073857	0
ENSCGRT00001027911	Csf3r	ENSCGRP00001023665	0	0	0	0	0	0	0	0	0	0	0	0	0.067829	0.020381	0	0	0	0	0	0	0.034212	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.036821	0	0	0.045861	0	0.037433	0	0	0.038881	0	0.036871	0	0	0.037351	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSCGRT00001027912	Ldlrad4	ENSCGRP00001023666	0	0	0	0.304347	0	0.15398	0	0.159498	0.074295	0.076595	0.064212	0	0.282668	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.019562	0	0.017133	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.047303	0	0	0	0	0	0	0	0	0	0.148239	0	0	0	0	0	0	0	0
ENSCGRT00001027913	Klhl13	ENSCGRP00001023667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSCGRT00001027914	Cpeb4	ENSCGRP00001023668	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.198524	0	0	0	0	0.258515	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSCGRT00001027915	Ank1	ENSCGRP00001023669	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.067217	0.092887	0	0.112906	0.126728	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.133526	0	0.202069	0	0	0.083972	0	0	0	0.05127	0.126219	0	0	0	0.098513	0.093545	0.096563	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSCGRT00001027916	Ralgds	ENSCGRP00001023670	19.921043	4.637987	3.019883	6.183672	7.162545	12.291701	20.179102	5.305566	4.708274	6.537621	3.703801	5.512768	5.037998	3.868548	4.832571	4.919188	3.703645	4.371767	3.537836	4.790209	5.100906	3.312153	7.683096	7.723491	10.378736	12.715333	13.812886	9.059012	5.644924	5.059925	14.259011	5.152911	7.359197	18.495357	4.211575	6.881875	0.841667	0.781367	0.77042	0.438364	0.684424	0.492766	0.555814	0.508485	3.019878	7.161821	2.311526	3.148126	0	4.449741	4.368383	4.183442	1.959978	2.818051	0.721667	1.541124	2.848351	3.216046	2.45295	3.380672	2.791793	5.114769	4.647989	2.730741	1.403201	1.540917	6.533587	5.535556	3.963027	4.043604	5.196236	6.805734	0.798609	8.040621	3.420078	6.690274	2.01282	4.875023	4.984085	5.460926
ENSCGRT00001027917	Cpeb4	ENSCGRP00001023671	0.670605	0	0.720317	0	0	0	0.19162	0.198035	0.357817	0.201908	0	0	0.536343	0	0	0	1.751482	1.218325	2.0258	1.635582	1.710316	0.872973	0.423227	0	0	0	0.925157	0	0.259002	0	0.283701	0	0	0.212695	0	0	0.050415	0	0	0.019158	0	0	0	0	0.720403	0	0.176747	0.668717	0	0.667192	0.460322	0.528176	1.13712	0	0.199825	1.26072	0.16129	1.182932	0	1.124842	0	0.202111	0.465433	0	0.40066	0.215303	0.596316	0	0.253498	0.386641	0.459196	0.534396	0	0.273228	0	0	0	0	0	0
